"origin"	"dest"	"count"
3038186	2971053	1
2971053	359796	1
3025574	361058	1
3034985	3034985	1
3034985	361058	2
2984242	2984242	1
2984242	360630	1
2997414	2998264	1
2998264	360630	7
2998264	2998264	4
2998264	2988507	1
2983735	361058	1
3024746	360630	1
3010653	358619	1
2985850	359796	1
2507480	359796	10
2989590	3017382	1
3017382	359796	1
11821021	360630	1
3036938	360630	8
2842632	361058	1
2967325	360630	1
3034640	359796	6
3034640	358048	2
3038334	3038334	10
3038334	360630	12
3038334	358619	7
3038334	361058	3
2507480	361058	53
2987967	2987967	1
2987967	361058	4
2990440	358619	1
2977065	2995469	1
2967325	361058	1
6620225	361058	1
2982088	361058	1
2992035	361058	1
3030057	361058	3
358619	361058	37
3023763	360630	6
3031089	361058	1
2979839	2968866	1
2968866	359796	1
2976134	2976134	2
2976134	360630	2
3036433	361058	6
3022158	3022158	1
3022158	359796	1
2971483	360630	1
3029563	360630	2
2983825	361058	1
3035304	360630	1
359796	360630	15
2969679	2988507	2
2969679	359796	1
3010315	359796	2
2991741	2998127	1
2998127	361058	6
2998286	360630	3
3013793	361058	5
3030733	360630	1
3174530	360630	2
3036601	361058	2
2988285	358619	1
3017192	3017192	1
3017192	359796	1
2988507	3037397	1
3037397	359796	1
3008206	1848354	1
1848354	361058	1
3014784	3037287	1
3037287	359796	2
2969694	2969692	1
2969692	361058	2
2985999	361058	1
2989460	360630	2
2990970	360630	1
2990272	361058	2
2992274	361058	1
2503769	360630	1
11281948	361058	1
2993002	361058	4
2989957	1566083	1
3037167	360630	2
3037167	3037167	3
3037167	2972857	1
2972857	360630	1
3028542	2995469	1
2999649	360630	1
2980291	361055	1
3036781	358619	1
3013864	3013864	1
3013864	361058	1
2505865	361058	1
2992166	358619	3
2995469	2990919	1
2990919	360630	3
2975964	361058	1
2982809	358619	1
3028390	361058	1
2981522	2981522	1
2981522	359796	1
6694620	361058	2
2972328	360630	16
360630	359783	3
359796	361058	27
361058	359796	15
3006414	3006414	5
3026073	358619	1
6441515	2982636	1
2982636	359796	2
3016702	361058	9
2985849	360630	1
2992771	2992771	1
2992771	361058	1
2998129	361058	1
3035475	3035475	1
3035475	359796	1
2661265	2988507	1
2487134	360630	5
360630	361055	7
2987893	359796	2
2485926	360630	21
2589581	2589581	2
2500017	2500017	1
2500017	360630	1
2507480	2507480	19
2574024	360630	1
2998333	361058	1
2488835	361058	1
2988670	361058	4
2485926	2485926	5
361320	361320	2
2497988	361320	1
361320	360630	3
3034640	3034640	12
2973362	1566083	1
2484952	2498611	1
2498611	361058	1
